No,Datetime,User,Text
77,2020-01-23 10:00:32+00:00,Movielatteee,Masih ingat film gundala guys ? tahukah kamu film garapan joko anwar ini sempat kesulitan saat mengarap naskah film gundala dia memilih menulis naskah di museum dan kuburan #gundala #jokoanwar #movielattee #movies #filmgundala #cinema
78,2020-01-22 17:02:37+00:00,sinemagerbanget,Karna belum ngantuk dan mumpung #Gundala udah bisa disaksikan dari Vidio di rumah masing-masing gatel rasanya kalo gak ngikut (((urun rembug))) untuk memberikan sebuah: BEDAH FILM GUNDALA LAGI! ~A thread! 
79,2020-01-22 15:54:53+00:00,pojokjagoan,Wahhh.. selamat ya buat semua tim yang udah bekerja yang dengan buat film sekeren ini. Semoga nominasi yang terpilih bisa berlanjut jadi pemenang ya di Piala Maya ke-8 dan nambah lagi prestasi buat film ini aamiin. #kabarPJN #bumilangit #Gundala #PIALAMAYA8
80,2020-01-22 15:42:30+00:00,toshiyoni,#Gundala positip
81,2020-01-22 13:25:26+00:00,moviegoersphile,Ayo dong bang rilis #Gundala Director's Cut. Jangan mau kalah sama NKCTHI 
82,2020-01-22 12:13:51+00:00,Tantastic_TJT,Buat yang pengen liat lagi gimana rusuhnya Preman Pasar film #Gundala sudah bisa ditonton di vidiodotcom yaaa gaeess!! . . #negeriinibutuhpatriot #filmgundala #filmindonesia #tantaginting #tantagintingbtsfilmâ€¦ https://www.instagram.com/p/B7nxxRwDVqy/?igshid=13w58e08kszj3
83,2020-01-22 09:18:33+00:00,dierhernoto,Saatnya jadi pengkor #toonme #Gundala 
84,2020-01-22 05:22:03+00:00,pojokjagoan,Keplek (ID card) dari Bapak wakil rakyat di JSB yang ngasih kostum rakyat ke Gundala. . Ini cuma merchandise dari @tokosamisami lho ya Sumber: @rekhaza (IG) #pojokjagoan #bumilangit #JSB #Gundala #gundalamovie #gundalaputrapetir #ridwanbahri #lukmansardi
85,2020-01-22 05:18:40+00:00,pojokjagoan,Selebaran dari Ghapharma buat pembagian gratis serum anti amoral untuk para ibu hamil yang bekerjasama dengan pemerintah negara. . Ini cuma merchandise dari @tokosamisami lho ya Sumber: @rekhaza (IG) #pojokjagoan #bumilangit #Gundala #gundalamovie #ghazul #ghapharma
86,2020-01-22 04:35:40+00:00,shandygasella,homescreen TV saya kece nih #Gundala lawan #Joker *cubit gemes bang @jokoanwar
87,2020-01-22 03:00:20+00:00,moviegoersphile,Sareeee.... @bumilangitcom #Gundala 
88,2020-01-21 16:56:13+00:00,walzodiac,Ohi.. #Gundala \/
89,2020-01-21 15:05:15+00:00,anwar91muhlasin,Elah cuma 5rb. Promo Gundala 10rb. Tapi sama aja #Gundala nya gak bisa ditonton loading gambarnya. Malahan nonton film lainya #GIE bisa ngurangin kekecewaan berlangganan @vidio 
90,2020-01-21 14:18:23+00:00,Kilddntxpctht,Starting #Gundala pun macam dah bikin mata bergenang ni 
91,2020-01-21 12:00:35+00:00,vidio,Fakta #Gundala yang haru banget kamu tau! Sahabat Vidio ada yang bisa nambahin? #GundalaDiVidio #BumiLangitUniverse
92,2020-01-21 11:26:02+00:00,scralachtica,#Gundala terus menghiasi TV selama 3 hari belakangan ini.. Woi bocah!!! Bapaklu mau nonton yg laeeen.. 
93,2020-01-21 10:52:33+00:00,ariqsulthn,Dua pilihan : 1. gausa ikut urusan orang = dikata hidup gak guna 2. ikut urusan orang = nambah masalah sendiri sulit ya jadi manusia peduli #gundala
94,2020-01-21 10:42:43+00:00,umenumen,Hujan terik panas deras. Semua terbalik-balik. Kipas angin mati nurani mati. Ada ratusan alasan untuk saling membenci di negeri ini. Ratusan perbedaan. #Gundala
95,2020-01-21 05:47:43+00:00,Ardi48_o,Hehehe #Gundala 
96,2020-01-21 04:31:19+00:00,bellyrp_,Saya ini rakyat apakah seorang rakyat tidak boleh bertemu dengan wakilnya? #Gundala
97,2020-01-20 17:44:13+00:00,NIndoxxi,Gundala putra petir udah ada nih gaes yang belom nonton yuk mampir sini Visit: https://bit.ly/2G8uQ4Z #Gundala #gundalaputrapetir #film #movie #movies #indonesiafilm #selasaambyar
